Year,Geo_Level,State_ANSI,Commodity_ID,Value
2016,STATE,42,2,950000.00
2016,STATE,45,2,720000.00
2016,STATE,46,2,19880000.00
2016,STATE,47,2,330000.00
2016,STATE,48,2,9310000.00
2016,STATE,49,2,992000.00
2016,STATE,50,2,312000.00
2016,STATE,51,2,190000.00
2016,STATE,53,2,2940000.00
2016,STATE,54,2,160000.00
2016,STATE,55,2,3348000.00
2016,STATE,56,2,2720000.00
2015,STATE,1,2,329000.00
2015,STATE,4,2,1274000.00
2015,STATE,5,2,1728000.00
2015,STATE,6,2,8250000.00
2015,STATE,8,2,1479000.00
2015,STATE,12,2,11880000.00
2015,STATE,13,2,2760000.00
2015,STATE,15,2,1632000.00
2015,STATE,16,2,2848000.00
2015,STATE,17,2,408000.00
2015,STATE,18,2,318000.00
2015,STATE,19,2,1800000.00
2015,STATE,20,2,288000.00
2015,STATE,21,2,230000.00
2015,STATE,22,2,4356000.00
2015,STATE,23,2,470000.00
2015,STATE,26,2,5220000.00
2015,STATE,27,2,8296000.00
2015,STATE,28,2,1245000.00
2015,STATE,29,2,520000.00
2015,STATE,30,2,12118000.00
2015,STATE,31,2,2736000.00
2015,STATE,34,2,324000.00
2015,STATE,36,2,3596000.00
2015,STATE,37,2,540000.00
2015,STATE,38,2,36260000.00
2015,STATE,39,2,850000.00
2015,STATE,41,2,2698000.00
2015,STATE,,2,1168000.00
2015,STATE,42,2,901000.00
2015,STATE,45,2,938000.00
2015,STATE,46,2,19140000.00
2015,STATE,47,2,413000.00
2015,STATE,48,2,8316000.00
2015,STATE,49,2,1134000.00
2015,STATE,50,2,260000.00
2015,STATE,51,2,185000.00
2015,STATE,53,2,3212000.00
2015,STATE,54,2,175000.00
2015,STATE,55,2,3484000.00
2015,STATE,56,2,2926000.00
2014,STATE,1,2,371000.00
2014,STATE,4,2,1014000.00
2014,STATE,5,2,1365000.00
2014,STATE,6,2,12480000.00
2014,STATE,8,2,999000.00
2014,STATE,12,2,14700000.00
2014,STATE,13,2,4526000.00
2014,STATE,15,2,1395000.00
2014,STATE,16,2,3400000.00
2014,STATE,17,2,392000.00
2014,STATE,18,2,310000.00
2014,STATE,19,2,1505000.00
2014,STATE,20,2,525000.00
2014,STATE,21,2,235000.00
2014,STATE,22,2,4032000.00
2014,STATE,23,2,376000.00
2014,STATE,26,2,5733000.00
2014,STATE,27,2,7920000.00
2014,STATE,28,2,2240000.00
2014,STATE,29,2,564000.00
2014,STATE,30,2,14256000.00
2014,STATE,31,2,3750000.00
2014,STATE,34,2,360000.00
